Cluster,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Cluster
0,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.04,0.04,0.04,0.04,0.03,0.04,0.05,0.0,0.05,0.04,0.01,0.02,0.01,0.04,0.04,0.03,0.04,0.02,0.04,0.01,0.03,0.04,0.07,0.23,0.05,0.03,0.01,0.05,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.04,0.07,0.04,0.0
1,0.08,0.0,0.09,0.06,0.07,0.04,0.07,0.11,0.09,0.14,0.05,0.21,0.26,0.39,0.09,0.21,0.42,0.19,0.23,0.18,0.4,0.47,0.35,0.32,0.26,0.43,0.13,0.11,0.18,0.44,0.42,0.2,0.16,0.17,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.19,0.38,0.07,1.0
